更新时间,#genre#
20240622-09-29-37,url


央视频道,#genre#
CCTV5,http://116.31.166.176:1688/udp/239.77.0.177:5146
CCTV5,http://110.178.44.116:8084/udp/239.1.1.12:8012
CCTV5,http://110.185.239.180:8888/udp/239.93.42.37:5140
CCTV5,http://110.178.52.111:8082/udp/239.1.1.11:8011
CCTV5,http://113.206.114.34:8003/udp/225.0.4.143:7980
CCTV5,http://110.178.52.111:8082/udp/239.1.1.12:8012
CCTV5,http://113.110.72.52:8090/hls/118/index.m3u8
CCTV5,http://110.184.114.89:4022/udp/239.93.42.37:5140
CCTV5,http://183.184.204.165:8082/rtp/226.0.2.168:9256
CCTV5,http://120.84.121.113:808/hls/110/index.m3u8
CCTV5,http://113.100.72.40:8899/udp/239.77.0.170:5146#http://113.110.231.208:4022/udp/239.77.0.170:5146#http://14.212.185.27:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=0&authid=0#http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226019/index.m3u8#http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226019/index.m3u8#http://112.235.200.118:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0#http://[2409:8087:1a01:df::4077]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226019/index.m3u8
CCTV5,http://113.206.114.34:8002/udp/225.0.4.143:7980
CCTV5,http://59.34.139.143:4000/udp/239.77.0.177:5146
CCTV5,http://125.122.11.106:9999/udp/233.50.201.220:5140
CCTV5,http://113.206.114.34:8003/udp/225.0.4.73:7980
CCTV5,http://116.31.166.176:1688/udp/239.77.0.170:5146
CCTV5,http://113.57.103.216:9000/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5,http://27.11.54.11:8001/udp/225.0.4.143:7980
CCTV5,http://110.178.52.111:8083/udp/239.1.1.12:8012
CCTV5,http://183.184.204.165:8083/rtp/226.0.2.168:9256
CCTV5,http://59.34.139.143:4000/udp/239.77.0.170:5146
CCTV5,http://110.185.239.180:8888/udp/239.93.1.36:8004
CCTV5,http://211.158.152.48:8008/udp/225.0.4.143:7980
CCTV5,http://120.84.121.113:808/hls/109/index.m3u8
CCTV5,http://1.80.231.46:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5,http://116.5.169.184:8884/udp/239.77.0.177:5146
CCTV5,http://183.0.186.131:9900/tsfile/live/0005_1.m3u8
CCTV5,http://61.51.140.138:8888/rtp/239.3.1.173:8001
CCTV5,http://113.206.114.34:8002/udp/225.0.4.73:7980
CCTV5,http://01e117.netsite.cc/proxy/1233541493/1233541493.m3u8
CCTV5,http://110.178.52.111:8084/udp/239.1.1.12:8012
CCTV5+,http://01e117.netsite.cc/proxy/1327890911/1327890911.m3u8
CCTV5+,http://113.100.72.40:8899/udp/239.77.0.87:5146#http://183.30.201.182:10002/udp/239.77.0.87:5146#http://113.68.179.40:4022/udp/239.77.1.31:5146#http://121.13.85.231:8000/udp/239.77.0.87:5146#http://113.110.231.208:4022/udp/239.77.0.87:5146#http://183.30.201.182:10002/udp/239.77.1.31:5146#http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221225603/index.m3u8#http://113.71.149.151:5555/udp/239.77.1.31:5146#http://113.71.149.151:5555/udp/239.77.0.87:5146#http://113.101.245.175:9988/udp/239.77.0.87:5146#http://[2409:8087:4c0a:22:1::11]:6410/170000001115/UmaiCHAN63872908d48f9/index.m3u8?AuthInfo=9kOOdBn7MFF%2F2bWjKgahUSBx06ZL9Bo6JOM%2BSTjxZRK254G1jtietGzDaHvFNRtjXOvFnbf%2BTao33JqYlfMYYn2z3agOn9gvNMT9KmBaR9o#http://113.68.179.40:4022/udp/239.77.0.87:5146#http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225603/index.m3u8
CCTV5+,http://58.51.111.46:1111/tsfile/live/1021_1.m3u8?key=txiptv&playlive=1&authid=0
